target,regulation,gene1,gene2,gene3,gene4,pubmed
ykuN,repression,fur,,,,http://www.ncbi.nlm.nih.gov/pubmed/12354229
ykuN,activation,resD,,,,http://www.ncbi.nlm.nih.gov/pubmed/24214949
ykuN,repression,nsrR,,,,http://www.ncbi.nlm.nih.gov/pubmed/24214949
ykuO,repression,fur,,,,http://www.ncbi.nlm.nih.gov/pubmed/12354229
ykuO,activation,resD,,,,http://www.ncbi.nlm.nih.gov/pubmed/24214949
ykuO,repression,nsrR,,,,http://www.ncbi.nlm.nih.gov/pubmed/24214949
ykuP,repression,fur,,,,http://www.ncbi.nlm.nih.gov/pubmed/12354229
ykuP,activation,resD,,,,http://www.ncbi.nlm.nih.gov/pubmed/24214949
ykuP,repression,nsrR,,,,http://www.ncbi.nlm.nih.gov/pubmed/24214949
ykzF,repression,ccpA,,,,http://www.ncbi.nlm.nih.gov/pubmed/12850135
ykzF,activation,spo0A,,,,http://www.ncbi.nlm.nih.gov/pubmed/18840696
ylnD,?,s-box,riboswitch,,,http://www.ncbi.nlm.nih.gov/pubmed/10094622
ylnD,repression,cymR,,,,
ylnE,?,s-box,riboswitch,,,http://www.ncbi.nlm.nih.gov/pubmed/10094622
ylnE,repression,cymR,,,,
ylnF,?,s-box,riboswitch,,,http://www.ncbi.nlm.nih.gov/pubmed/10094622
ylnF,repression,cymR,,,,
ylpC,activation,comA,,,,http://www.ncbi.nlm.nih.gov/pubmed/16091051
ylpC,repression,fapR,,,,http://www.ncbi.nlm.nih.gov/pubmed/12737802
ylxM,nothing,,,,,
ylxP,nothing,,,,,
ylxQ,nothing,,,,,
ylxR,nothing,,,,,
ylxS,nothing,,,,,
ylxW,nothing,,,,,
ylxX,nothing,,,,,
yoeB,repression,walR,,,,http://www.ncbi.nlm.nih.gov/pubmed/17581128
yqcK,repression,arsR,,,,http://www.ncbi.nlm.nih.gov/pubmed/9537360
yrhA,repression,cymR,,,,http://www.ncbi.nlm.nih.gov/pubmed/16513748
yrhA,activation,spx,,,,http://www.ncbi.nlm.nih.gov/pubmed/12642660
yrhB,repression,cymR,,,,http://www.ncbi.nlm.nih.gov/pubmed/16513748
yrhB,activation,spx,,,,http://www.ncbi.nlm.nih.gov/pubmed/12642660
yrhC,repression,cymR,,,,http://www.ncbi.nlm.nih.gov/pubmed/16513748
yrhC,activation,spx,,,,http://www.ncbi.nlm.nih.gov/pubmed/12642660
yrrT,repression,cymR,,,,http://www.ncbi.nlm.nih.gov/pubmed/16513748
yrrT,activation,spx,,,,http://www.ncbi.nlm.nih.gov/pubmed/12642660
yrxA,repression,nadR,,,,http://www.ncbi.nlm.nih.gov/pubmed/8444804
ytrE,repression,ytrA,,,,http://www.ncbi.nlm.nih.gov/pubmed/10986249
ytrF,repression,ytrA,,,,http://www.ncbi.nlm.nih.gov/pubmed/10986249
yvaZ,repression,abrB,,,,http://www.ncbi.nlm.nih.gov/pubmed/16469701
yvaZ,repression,sdpR,,,,http://www.ncbi.nlm.nih.gov/pubmed/16469701
yvbA,repression,abrB,,,,http://www.ncbi.nlm.nih.gov/pubmed/16469701
yvbA,repression,sdpR,,,,http://www.ncbi.nlm.nih.gov/pubmed/16469701
yvgQ,activation,cysL,,,,http://www.ncbi.nlm.nih.gov/pubmed/12169591
yvgR,activation,cysL,,,,http://www.ncbi.nlm.nih.gov/pubmed/12169591
yxeK,repression,cymR,,,,http://www.ncbi.nlm.nih.gov/pubmed/16513748
yxeL,repression,cymR,,,,http://www.ncbi.nlm.nih.gov/pubmed/16513748
yxeM,repression,cymR,,,,http://www.ncbi.nlm.nih.gov/pubmed/16513748
yxeN,repression,cymR,,,,http://www.ncbi.nlm.nih.gov/pubmed/16513748
yxeO,repression,cymR,,,,http://www.ncbi.nlm.nih.gov/pubmed/16513748
yxeP,repression,cymR,,,,http://www.ncbi.nlm.nih.gov/pubmed/16513748
yxxG,repression,degU,,,,http://www.ncbi.nlm.nih.gov/pubmed/9537385
yxxG,activation,yvrHb,,,,http://www.ncbi.nlm.nih.gov/pubmed/16306698
yxxG,repression,walR,,,,http://www.ncbi.nlm.nih.gov/pubmed/23199363
